lamb_air,flux
8482.769148528265,0.9948806
8482.869121494325,0.99584854
8482.969094460379,0.9946027
8483.069067426428,0.99234897
8483.169040392473,0.9905247
8483.269013358513,0.9888714
8483.368986324545,0.9887152
8483.468959290574,0.98932093
8483.568932256598,0.9895656
8483.668905222616,0.98979986
8483.768878188626,0.9913127
8483.868851154633,0.9926468
8483.968824120635,0.99343556
8484.068797086631,0.9912825
8484.168770052622,0.9893398
8484.268743018609,0.9902685
8484.368715984587,0.9929246
8484.468688950563,0.99437183
8484.56866191653,0.99402285
8484.668634882493,0.99382997
8484.768607848451,0.9948379
8484.868580814406,0.9954956
8484.968553780353,0.9951402
8485.068526746296,0.9942953
8485.16849971223,0.99416995
8485.268472678163,0.99563867
8485.36844564409,0.99584776
8485.468418610008,0.99339783
8485.568391575925,0.99100137
8485.668364541834,0.99090683
8485.76833750774,0.9933498
8485.868310473637,0.99505174
8485.96828343953,0.99314475
8486.068256405419,0.9913122
8486.168229371302,0.98928225
8486.26820233718,0.9887187
8486.368175303052,0.9897076
8486.468148268918,0.99101776
8486.56812123478,0.9920593
8486.668094200637,0.9920233
8486.768067166486,0.9917216
8486.868040132333,0.991413
8486.96801309817,0.9911243
8487.067986064007,0.99075735
8487.167959029834,0.9910724
8487.267931995657,0.99162394
8487.367904961477,0.99130803
8487.467877927289,0.99134594
8487.567850893096,0.9931002
8487.6678238589,0.9943007
8487.767796824694,0.9937789
8487.867769790488,0.9927861
8487.967742756273,0.9932128
8488.067715722054,0.99312913
8488.167688687829,0.99281776
8488.267661653597,0.99233586
8488.367634619362,0.99159735
8488.467607585122,0.99169326
8488.567580550874,0.9925014
8488.667553516623,0.99386513
8488.767526482367,0.99332947
8488.867499448104,0.9924237
8488.967472413837,0.99185085
8489.067445379564,0.9917612
8489.167418345283,0.9922825
8489.267391311,0.99337316
8489.36736427671,0.99269015
8489.467337242417,0.99071497
8489.567310208115,0.98944986
8489.66728317381,0.9891782
8489.7672561395,0.98865795
8489.867229105183,0.9885108
8489.96720207086,0.9888282
8490.067175036535,0.9892342
8490.167148002201,0.9906928
8490.267120967865,0.9919655
8490.36709393352,0.9926195
8490.467066899173,0.99228513
8490.567039864818,0.9918305
8490.66701283046,0.9924709
8490.766985796095,0.99142516
8490.866958761724,0.9900488
8490.96693172735,0.98972356
8491.066904692969,0.99152654
8491.166877658581,0.99188197
8491.266850624192,0.9916381
8491.366823589795,0.99120426
8491.46679655539,0.9910657
8491.566769520983,0.9895608
8491.66674248657,0.9890347
8491.766715452151,0.9890893
8491.86668841773,0.98939174
8491.9666613833,0.98877674
8492.066634348865,0.98876727
8492.166607314424,0.9888986
8492.266580279978,0.9888095
8492.366553245529,0.98869014
8492.466526211074,0.98864686
8492.566499176612,0.9882223
8492.666472142146,0.98779315
8492.766445107673,0.9886668
8492.866418073196,0.9902518
8492.966391038712,0.990394
8493.066364004224,0.9885372
8493.166336969729,0.98660535
8493.26630993523,0.9857666
8493.366282900726,0.98660654
8493.466255866217,0.98859835
8493.566228831702,0.98909396
8493.666201797181,0.9892611
8493.766174762655,0.987945
8493.866147728124,0.98581445
8493.966120693587,0.98377544
8494.066093659045,0.98410404
8494.166066624499,0.9856054
8494.266039589946,0.9860504
8494.366012555387,0.98541576
8494.465985520825,0.9835766
8494.565958486255,0.981571
8494.66593145168,0.9808641
8494.765904417101,0.9801158
8494.865877382515,0.9799981
8494.965850347926,0.979344
8495.06582331333,0.9781493
8495.16579627873,0.97575605
8495.265769244124,0.97290957
8495.365742209513,0.9713474
8495.465715174894,0.9709261
