lamb_air,flux
8529.856414949492,0.98427063
8529.956387913035,0.9798786
8530.056360876571,0.9780157
8530.156333840105,0.96811485
8530.256306803632,0.96669537
8530.356279767153,0.9666257
8530.456252730672,0.97220784
8530.556225694183,0.98069036
8530.656198657687,0.9879156
8530.75617162119,0.97877496
8530.856144584684,0.96741664
8530.956117548174,0.9696022
8531.05609051166,0.9766219
8531.15606347514,0.97337884
8531.256036438614,0.9692013
8531.356009402083,0.96842307
8531.455982365547,0.96793556
8531.555955329004,0.9697223
8531.655928292457,0.97563404
8531.755901255905,0.9859378
8531.855874219347,0.9805895
8531.955847182786,0.96647614
8532.055820146217,0.95681345
8532.155793109645,0.95511377
8532.255766073064,0.96504897
8532.35573903648,0.98105514
8532.455711999892,0.9796772
8532.555684963298,0.9695443
8532.655657926696,0.9608836
8532.755630890091,0.96679384
8532.855603853483,0.974014
8532.955576816865,0.9783252
8533.055549780243,0.9744877
8533.155522743618,0.9664559
8533.255495706986,0.96416485
8533.35546867035,0.9713292
8533.455441633707,0.98290646
8533.55541459706,0.9931201
8533.655387560406,0.9942032
8533.755360523748,0.9811411
8533.855333487085,0.96822625
8533.955306450418,0.9572754
8534.055279413742,0.9460276
8534.155252377064,0.9400875
8534.25522534038,0.94301367
8534.35519830369,0.95656246
8534.455171266995,0.97168803
8534.555144230295,0.97325474
8534.65511719359,0.97133785
8534.755090156877,0.9668523
8534.855063120162,0.9590024
8534.955036083438,0.94263947
8535.055009046713,0.93027735
8535.15498200998,0.9295608
8535.254954973243,0.93706423
8535.3549279365,0.94024616
8535.454900899751,0.94032556
8535.554873862999,0.9387238
8535.65484682624,0.931125
8535.754819789478,0.9184151
8535.854792752707,0.9061144
8535.954765715935,0.8999429
8536.054738679153,0.89049613
8536.154711642368,0.8814819
8536.254684605577,0.8799727
8536.354657568781,0.89072144
8536.454630531982,0.8939706
8536.554603495177,0.897379
8536.654576458362,0.8982857
8536.754549421548,0.8963128
8536.854522384725,0.89551616
8536.954495347896,0.8979083
8537.054468311066,0.90689874
8537.154441274228,0.9092831
8537.254414237384,0.90510136
8537.354387200536,0.8977257
8537.454360163681,0.8963762
8537.554333126824,0.8976689
8537.65430608996,0.90291435
8537.75427905309,0.89948547
8537.854252016214,0.8842541
8537.954224979334,0.8697991
8538.054197942449,0.86147
8538.154170905558,0.8602397
8538.254143868662,0.85972196
8538.35411683176,0.8567987
8538.454089794854,0.8516043
8538.554062757943,0.8467238
8538.654035721023,0.8487472
8538.754008684104,0.8540035
8538.853981647175,0.85441655
8538.95395461024,0.84918183
8539.053927573303,0.840887
8539.153900536361,0.8263697
8539.25387349941,0.817319
8539.353846462456,0.8148942
8539.453819425498,0.81378114
8539.553792388533,0.80539995
8539.653765351562,0.78770924
8539.753738314588,0.7706733
8539.853711277608,0.7610686
8539.953684240621,0.75138384
8540.05365720363,0.7443745
8540.153630166633,0.7414715
8540.253603129631,0.73772514
8540.353576092626,0.7229265
8540.453549055614,0.7079901
8540.553522018598,0.69803876
8540.653494981572,0.6891283
8540.753467944545,0.67230433
8540.853440907513,0.6604698
8540.953413870473,0.6552367
8541.053386833431,0.65215594
8541.15335979638,0.64772666
8541.253332759326,0.6352798
8541.353305722267,0.61807454
8541.453278685203,0.6008632
8541.55325164813,0.591174
8541.653224611056,0.58608305
8541.753197573977,0.57869226
8541.85317053689,0.5675552
8541.953143499797,0.55222535
8542.053116462703,0.55060416
8542.1530894256,0.55103177
8542.253062388492,0.55415606
8542.35303535138,0.5586908
8542.453008314262,0.5622632
8542.55298127714,0.5724402
8542.652954240011,0.5888264
8542.752927202877,0.60244757
8542.852900165739,0.6139543
8542.952873128595,0.6195064
8543.052846091445,0.62699413
8543.15281905429,0.6363464
8543.25279201713,0.65456045
8543.352764979965,0.6763502
8543.452737942795,0.686203
8543.55271090562,0.68814176
8543.652683868439,0.6883062
8543.752656831253,0.6969974
8543.85262979406,0.6984076
8543.952602756863,0.7052399
8544.052575719661,0.7190479
8544.152548682456,0.7381823
8544.252521645241,0.7531835
8544.352494608023,0.75930154
8544.452467570802,0.7732243
8544.552440533573,0.7837729
8544.652413496338,0.7954357
8544.7523864591,0.79248285
8544.852359421855,0.79833364
8544.952332384606,0.8083072
8545.052305347352,0.8224137
8545.152278310092,0.83732283
